name,category,price,image,brand,stock
Hydrating Makeup Cream,Skin,8299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/wQ46tgeRCr-1165562_1.jpg,DermaGlow,60
Matte Finish Foundation,Makeup,3499,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/Asn88zjAZA-1179089_1.jpg,Lakme,45
Liquid Concealer Pro,Makeup,2199,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1179501/YCJ_JDgC0Yf-1179501_1.jpg,Maybelline,80
Makeup Combo Kit,Makeup,4999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/resize-w:2360/Tira_Combos/Lakme/TIRA006882/891952_Combo_50/891952_Combo_50_1.jpg,Lakme,30
Vitamin C Face Serum,Skin,2999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1020763/1sZYy8wUJ-1020763_1.jpg,Minimalist,75
Hydrating Face Moisturizer,Skin,1899,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1136963/6dwXHehIoCz-1136963_1.jpg,Cetaphil,90
Matte Lipstick Nude,Makeup,1599,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1145889/mpFIYVOi7Z-1145889_1.jpg,Swiss Beauty,120
Glossy Lip Balm,Lips,999,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1137405/JjRNSl3J_Q-1137405-1.jpg,Nivea,200
SPF 50 Ceramide Lip Balm,Lips,1299,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/mBQpomM_w-WishCare-Ceramide-Lip-Balm-with-SPF-50-PA-Kojic-Acid-and-Niacinamide-(5g).jpeg,WishCare,110
Waterproof Mascara,Eye,1799,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/resize-w:2360/1177486/gb54ZGof8J-1177486_1.jpg,Loreal,95
