name,category,price,image,brand,stock
Hydrating Face Cream,skin,899,https://images.unsplash.com/photo-1615397349754-cfa2066a298e,DermaGlow,60
Makeup Brush Set,makeup,1299,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9,ProBlend,40
Liquid Foundation,makeup,999,https://images.unsplash.com/photo-1596462502278-27bfdc403348,TrueTone,50
Luxury Perfume Bottle,fragrance,1799,https://images.unsplash.com/photo-1611930021592-a8cfd5319ceb,Noiré,35
Body Lotion Pump,body,699,https://images.unsplash.com/photo-1585232351009-aa87416fca90,SoftSkin,70
Essential Oil Dropper,fragrance,1199,https://images.unsplash.com/photo-1596755389378-c31d21fd1273,AromaPure,45
Hair Care Shampoo Bottle,hair,549,https://images.unsplash.com/photo-1600857544200-b2f666a9a2ec,HairLab,80
Glass Perfume Atomizer,fragrance,1599,https://images.unsplash.com/photo-1611930022073-b7a4ba5fcccd,Maison Scent,30
Skincare Serum Bottle,skin,1099,https://images.unsplash.com/photo-1594035910387-fea47794261f,ClearDrop,55
Men Casual Sneakers,footwear,2499,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519,UrbanWalk,25
Running Shoes Pair,footwear,2799,https://images.unsplash.com/photo-1600180758890-6b94519a8ba6,StrideX,20
Face Moisturizer Jar,skin,899,https://images.unsplash.com/photo-1583947215259-38e31be8751f,DermaGlow,60
Hydrating Face Cream,skin,899,https://images.unsplash.com/photo-1615397349754-cfa2066a298e,DermaGlow,60
Makeup Brush Set,makeup,1299,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9,ProBlend,40
Liquid Foundation,makeup,999,https://images.unsplash.com/photo-1596462502278-27bfdc403348,TrueTone,50
Luxury Perfume Bottle,fragrance,1799,https://images.unsplash.com/photo-1611930021592-a8cfd5319ceb,Noiré,35
Body Lotion Pump,body,699,https://images.unsplash.com/photo-1585232351009-aa87416fca90,SoftSkin,70
Essential Oil Dropper,fragrance,1199,https://images.unsplash.com/photo-1596755389378-c31d21fd1273,AromaPure,45
Hair Care Shampoo Bottle,hair,549,https://images.unsplash.com/photo-1600857544200-b2f666a9a2ec,HairLab,80
Glass Perfume Atomizer,fragrance,1599,https://images.unsplash.com/photo-1611930022073-b7a4ba5fcccd,Maison Scent,30
